State/UT,Population (2011 Census),Percentage of Population,Decadal Growth Rate (%),Estimated Population (2021),Rural Population (%),Urban Population (%),Population Density (per kmÂ²),Sex Ratio (females per 1000 males)
Uttar Pradesh,199812341,16.51,20.2,235687000,77.73,22.27,828.0,912
Maharashtra,112374333,9.28,16.0,126385000,54.78,45.22,365.0,929
Bihar,104099452,8.6,25.4,126756000,88.71,11.29,1102.0,918
West Bengal,91276115,7.54,13.8,99084000,68.13,31.87,1029.0,953
Madhya Pradesh,72626809,6.0,20.3,86579000,72.37,27.63,236.0,931
Tamil Nadu,72147030,5.96,15.6,76860000,51.6,48.4,555.0,996
Rajasthan,68548437,5.66,21.3,81025000,75.13,24.87,201.0,928
Karnataka,61095297,5.05,15.6,67692000,61.33,38.67,319.0,973
Gujarat,60439692,4.99,19.3,71507000,57.4,42.6,308.0,919
Andhra Pradesh,49577103,4.1,11.0,53156000,70.53,29.47,303.0,993
Odisha,41974219,3.47,14.0,46276000,83.31,16.69,269.0,978
Telangana,35003674,2.89,13.58,38090000,61.12,38.88,312.0,988
Kerala,33406061,2.76,4.9,35776000,52.3,47.7,859.0,1084
Jharkhand,32988134,2.73,22.4,39466000,75.95,24.05,414.0,948
Assam,31205576,2.58,17.1,35713000,85.9,14.1,398.0,958
Punjab,27743338,2.29,13.89,30730000,62.52,37.48,551.0,895
Chhattisgarh,25545198,2.11,22.6,30180000,76.76,23.24,189.0,991
Haryana,25351462,2.09,19.9,30209000,65.12,34.88,573.0,879
NCT of Delhi,16787941,1.39,21.2,21359000,2.5,97.5,11297.0,868
Jammu and Kashmir,12267032,1.01,23.6,13603000,73.89,26.11,297.0,890
Uttarakhand,10086292,0.83,18.8,11637000,69.77,30.23,189.0,963
Himachal Pradesh,6864602,0.57,12.9,7468000,89.97,10.03,123.0,972
Tripura,3673917,0.3,14.8,4147000,73.83,26.17,350.0,960
Meghalaya,2966889,0.25,27.9,3349000,79.93,20.07,132.0,989
Manipur,2570390,0.21,24.5,3223000,69.79,30.21,122.0,992
Nagaland,1978502,0.16,-0.6,2233000,71.14,28.86,119.0,931
Goa,1458545,0.12,8.2,1575000,37.83,62.17,394.0,973
Arunachal Pradesh,1383727,0.11,26.0,1562000,77.06,22.94,17.0,938
Puducherry,1247953,0.1,28.1,1646000,31.67,68.33,2598.0,1037
Mizoram,1097206,0.09,23.5,1238000,47.89,52.11,52.0,976
Chandigarh,1055450,0.09,17.2,1231000,2.75,97.25,9252.0,818
Sikkim,610577,0.05,12.9,689000,74.85,25.15,86.0,890
Dadra and Nagar Haveli and Daman and Diu,585764,0.05,55.1,1263000,41.57,58.43,970.0,711
Andaman and Nicobar Islands,380581,0.03,6.9,403000,62.3,37.7,46.0,876
Ladakh,274000,0.02,17.8,300000,16.0,84.0,2.8,853
Lakshadweep,64473,0.01,6.3,69000,21.93,78.07,2013.0,946
